Pclass,Survived,IsAlone,Embarked_C,Embarked_Q,Embarked_S,Sex_female,Sex_male,"AgeBand_(-0.08, 16.0]","AgeBand_(16.0, 32.0]","AgeBand_(32.0, 48.0]","AgeBand_(48.0, 64.0]","AgeBand_(64.0, 80.0]","FareBand_(-0.512, 102.4]","FareBand_(102.4, 204.8]","FareBand_(204.8, 307.2]","FareBand_(307.2, 409.6]","FareBand_(409.6, 512.0]",Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Rare
3,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1.0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
3,1.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2,1.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,1.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,1.0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
3,0.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,1.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,1.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1,1.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0.0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,1.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0.0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,0.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1.0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
2,1.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,1.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,1.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1.0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
1,1.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
2,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0.0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0.0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3,1.0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,0.0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,1.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
2,0.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
1,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
3,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,1.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0.0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,1.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0.0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
1,0.0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
2,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2,1.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3,1.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
1,1.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2,1.0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
1,1.0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
1,1.0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
3,0.0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
2,0.0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,1.0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1.0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,1.0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
1,1.0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
